,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
15850,Narromine (A),2015,"2,047",-
15850,Narromine (A),2016,"2,148",5.0
15850,Narromine (A),2017,"2,154",-
15900,Newcastle (C),2011,-,5.9
15900,Newcastle (C),2013,"50,090",-
15900,Newcastle (C),2014,"53,174",-
15900,Newcastle (C),2015,"55,718",-
15900,Newcastle (C),2016,"56,799",5.9
15900,Newcastle (C),2017,"58,064",-
15950,North Sydney (A),2011,-,1.9
15950,North Sydney (A),2013,"33,507",-
15950,North Sydney (A),2014,"35,202",-
15950,North Sydney (A),2015,"36,932",-
15950,North Sydney (A),2016,"38,048",2.1
15950,North Sydney (A),2017,"38,671",-
15990,Northern Beaches (A),2011,-,3.3
15990,Northern Beaches (A),2013,"111,762",-
15990,Northern Beaches (A),2014,"117,465",-
15990,Northern Beaches (A),2015,"122,995",-
15990,Northern Beaches (A),2016,"125,317",3.7
15990,Northern Beaches (A),2017,"127,853",-
16100,Oberon (A),2011,-,4.4
16100,Oberon (A),2013,"1,369",-
16100,Oberon (A),2014,"1,491",-
16100,Oberon (A),2015,"1,599",-
16100,Oberon (A),2016,"1,576",4.8
16100,Oberon (A),2017,"1,663",-
16150,Orange (C),2011,-,4.9
16150,Orange (C),2013,"11,264",-
16150,Orange (C),2014,"11,843",-
16150,Orange (C),2015,"12,513",-
16150,Orange (C),2016,"12,898",5.7
16150,Orange (C),2017,"13,139",-
16200,Parkes (A),2011,-,6.2
16200,Parkes (A),2013,"3,791",-
16200,Parkes (A),2014,"4,117",-
16200,Parkes (A),2015,"4,312",-
16200,Parkes (A),2016,"4,270",6.5
16200,Parkes (A),2017,"4,373",-
16260,Parramatta (C),2011,-,3.9
16260,Parramatta (C),2013,"64,734",-
16260,Parramatta (C),2014,"69,722",-
16260,Parramatta (C),2015,"74,004",-
16260,Parramatta (C),2016,"77,441",4.1
16260,Parramatta (C),2017,"81,453",-
16350,Penrith (C),2011,-,4.3
16350,Penrith (C),2013,"46,223",-
16350,Penrith (C),2014,"49,509",-
16350,Penrith (C),2015,"52,314",-
16350,Penrith (C),2016,"54,192",5.2
16350,Penrith (C),2017,"55,870",-
16380,Port Macquarie-Hastings (A),2011,-,6.6
16380,Port Macquarie-Hastings (A),2013,"18,610",-
16380,Port Macquarie-Hastings (A),2014,"20,467",-
16380,Port Macquarie-Hastings (A),2015,"21,846",-
16380,Port Macquarie-Hastings (A),2016,"22,648",7.4
16380,Port Macquarie-Hastings (A),2017,"23,519",-
16400,Port Stephens (A),2011,-,5.5
16400,Port Stephens (A),2013,"18,830",-
16400,Port Stephens (A),2014,"20,174",-
16400,Port Stephens (A),2015,"21,267",-
16400,Port Stephens (A),2016,"21,864",6.4
16400,Port Stephens (A),2017,"22,546",-
16490,Queanbeyan-Palerang Regional (A),2011,-,3.3
16490,Queanbeyan-Palerang Regional (A),2013,"18,610",-
16490,Queanbeyan-Palerang Regional (A),2014,"19,744",-
16490,Queanbeyan-Palerang Regional (A),2015,"20,959",-
16490,Queanbeyan-Palerang Regional (A),2016,"21,890",3.9
16490,Queanbeyan-Palerang Regional (A),2017,"22,972",-
16550,Randwick (C),2011,-,3.7
16550,Randwick (C),2013,"49,423",-
16550,Randwick (C),2014,"52,532",-
16550,Randwick (C),2015,"55,394",-
16550,Randwick (C),2016,"56,503",3.8
16550,Randwick (C),2017,"57,057",-
16610,Richmond Valley (A),2011,-,7.4
16610,Richmond Valley (A),2013,"4,539",-
16610,Richmond Valley (A),2014,"5,100",-
16610,Richmond Valley (A),2015,"5,472",-
16610,Richmond Valley (A),2016,"5,564",7.8
16610,Richmond Valley (A),2017,"5,807",-
16700,Ryde (C),2011,-,4.4
16700,Ryde (C),2013,"40,960",-
16700,Ryde (C),2014,"43,554",-
16700,Ryde (C),2015,"45,699",-
16700,Ryde (C),2016,"47,382",4.6
16700,Ryde (C),2017,"49,208",-
16900,Shellharbour (C),2011,-,5.9
16900,Shellharbour (C),2013,"15,921",-
16900,Shellharbour (C),2014,"17,405",-
16900,Shellharbour (C),2015,"18,766",-
16900,Shellharbour (C),2016,"19,642",6.7
16900,Shellharbour (C),2017,"20,311",-
16950,Shoalhaven (C),2011,-,6.9
16950,Shoalhaven (C),2013,"21,190",-
16950,Shoalhaven (C),2014,"23,136",-
16950,Shoalhaven (C),2015,"24,725",-
16950,Shoalhaven (C),2016,"25,885",7.7
16950,Shoalhaven (C),2017,"27,007",-
17000,Singleton (A),2011,-,3.7
17000,Singleton (A),2013,"8,840",-
17000,Singleton (A),2014,"9,087",-
17000,Singleton (A),2015,"9,316",-
17000,Singleton (A),2016,"9,280",4.5
17000,Singleton (A),2017,"9,534",-
17040,Snowy Monaro Regional (A),2011,-,4.5
17040,Snowy Monaro Regional (A),2013,"6,139",-
17040,Snowy Monaro Regional (A),2014,"6,790",-
17040,Snowy Monaro Regional (A),2015,"7,250",-
17040,Snowy Monaro Regional (A),2016,"7,258",4.4
17040,Snowy Monaro Regional (A),2017,"7,703",-
17080,Snowy Valleys (A),2011,-,5.0
17080,Snowy Valleys (A),2013,"3,874",-
17080,Snowy Valleys (A),2014,"4,339",-
17080,Snowy Valleys (A),2015,"4,613",-
17080,Snowy Valleys (A),2016,"4,798",4.9
17080,Snowy Valleys (A),2017,"4,964",-
17100,Strathfield (A),2011,-,4.0
17100,Strathfield (A),2013,"10,828",-
17100,Strathfield (A),2014,"11,839",-
17100,Strathfield (A),2015,"12,451",-
17100,Strathfield (A),2016,"13,118",4.2
17100,Strathfield (A),2017,"13,867",-
17150,Sutherland Shire (A),2011,-,3.5
17150,Sutherland Shire (A),2013,"95,107",-
17150,Sutherland Shire (A),2014,"99,422",-
17150,Sutherland Shire (A),2015,"102,735",-
17150,Sutherland Shire (A),2016,"104,227",4.3
