,,,Private Health,Core Activity Need for Assistance - Census
Code,Label,Year,Taxpayers who report having private health insurance (no.),Persons who have need for assistance with core activities (%)
45040,Murray Bridge (RC),2017,"4,204",-
45090,Naracoorte and Lucindale (DC),2011,-,4.0
45090,Naracoorte and Lucindale (DC),2013,"2,666",-
45090,Naracoorte and Lucindale (DC),2014,"2,859",-
45090,Naracoorte and Lucindale (DC),2015,"2,941",-
45090,Naracoorte and Lucindale (DC),2016,"2,892",4.0
45090,Naracoorte and Lucindale (DC),2017,"2,830",-
45120,Northern Areas (DC),2011,-,6.2
45120,Northern Areas (DC),2013,"1,363",-
45120,Northern Areas (DC),2014,"1,430",-
45120,Northern Areas (DC),2015,"1,481",-
45120,Northern Areas (DC),2016,"1,351",6.8
45120,Northern Areas (DC),2017,"1,525",-
45290,Norwood Payneham St Peters (C),2011,-,5.7
45290,Norwood Payneham St Peters (C),2013,"14,662",-
45290,Norwood Payneham St Peters (C),2014,"15,251",-
45290,Norwood Payneham St Peters (C),2015,"15,813",-
45290,Norwood Payneham St Peters (C),2016,"16,454",5.8
45290,Norwood Payneham St Peters (C),2017,"16,232",-
45340,Onkaparinga (C),2011,-,5.2
45340,Onkaparinga (C),2013,"46,210",-
45340,Onkaparinga (C),2014,"49,778",-
45340,Onkaparinga (C),2015,"52,192",-
45340,Onkaparinga (C),2016,"53,342",5.9
45340,Onkaparinga (C),2017,"54,630",-
45400,Orroroo/Carrieton (DC),2011,-,7.9
45400,Orroroo/Carrieton (DC),2013,323,-
45400,Orroroo/Carrieton (DC),2014,336,-
45400,Orroroo/Carrieton (DC),2015,338,-
45400,Orroroo/Carrieton (DC),2016,322,7.6
45400,Orroroo/Carrieton (DC),2017,327,-
45540,Peterborough (DC),2011,-,10.5
45540,Peterborough (DC),2013,258,-
45540,Peterborough (DC),2014,278,-
45540,Peterborough (DC),2015,295,-
45540,Peterborough (DC),2016,278,10.0
45540,Peterborough (DC),2017,255,-
45680,Playford (C),2011,-,6.6
45680,Playford (C),2013,"13,776",-
45680,Playford (C),2014,"14,980",-
45680,Playford (C),2015,"16,171",-
45680,Playford (C),2016,"16,922",7.7
45680,Playford (C),2017,"17,480",-
45890,Port Adelaide Enfield (C),2011,-,6.5
45890,Port Adelaide Enfield (C),2013,"28,922",-
45890,Port Adelaide Enfield (C),2014,"31,328",-
45890,Port Adelaide Enfield (C),2015,"33,677",-
45890,Port Adelaide Enfield (C),2016,"34,679",6.9
45890,Port Adelaide Enfield (C),2017,"35,861",-
46090,Port Augusta (C),2011,-,5.3
46090,Port Augusta (C),2013,"3,016",-
46090,Port Augusta (C),2014,"3,291",-
46090,Port Augusta (C),2015,"3,328",-
46090,Port Augusta (C),2016,"3,192",5.7
46090,Port Augusta (C),2017,"3,248",-
46300,Port Lincoln (C),2011,-,5.3
46300,Port Lincoln (C),2013,"3,748",-
46300,Port Lincoln (C),2014,"3,970",-
46300,Port Lincoln (C),2015,"4,037",-
46300,Port Lincoln (C),2016,"4,306",6.1
46300,Port Lincoln (C),2017,"4,053",-
46450,Port Pirie City and Dists (M),2011,-,7.7
46450,Port Pirie City and Dists (M),2013,"3,054",-
46450,Port Pirie City and Dists (M),2014,"3,240",-
46450,Port Pirie City and Dists (M),2015,"3,544",-
46450,Port Pirie City and Dists (M),2016,"3,559",8.6
46450,Port Pirie City and Dists (M),2017,"4,147",-
46510,Prospect (C),2011,-,4.6
46510,Prospect (C),2013,"8,129",-
46510,Prospect (C),2014,"8,541",-
46510,Prospect (C),2015,"8,902",-
46510,Prospect (C),2016,"9,035",4.8
46510,Prospect (C),2017,"9,177",-
46670,Renmark Paringa (DC),2011,-,5.9
46670,Renmark Paringa (DC),2013,"2,024",-
46670,Renmark Paringa (DC),2014,"2,161",-
46670,Renmark Paringa (DC),2015,"2,173",-
46670,Renmark Paringa (DC),2016,"2,143",6.4
46670,Renmark Paringa (DC),2017,"2,208",-
46860,Robe (DC),2011,-,2.8
46860,Robe (DC),2013,497,-
46860,Robe (DC),2014,512,-
46860,Robe (DC),2015,528,-
46860,Robe (DC),2016,496,3.8
46860,Robe (DC),2017,559,-
46970,Roxby Downs (M),2011,-,0.7
46970,Roxby Downs (M),2013,"1,638",-
46970,Roxby Downs (M),2014,"1,721",-
46970,Roxby Downs (M),2015,"1,725",-
46970,Roxby Downs (M),2016,"1,599",1.0
46970,Roxby Downs (M),2017,"1,629",-
47140,Salisbury (C),2011,-,5.8
47140,Salisbury (C),2013,"28,355",-
47140,Salisbury (C),2014,"30,431",-
47140,Salisbury (C),2015,"32,172",-
47140,Salisbury (C),2016,"32,782",6.7
47140,Salisbury (C),2017,"33,483",-
47290,Southern Mallee (DC),2011,-,5.5
47290,Southern Mallee (DC),2013,688,-
47290,Southern Mallee (DC),2014,728,-
47290,Southern Mallee (DC),2015,746,-
47290,Southern Mallee (DC),2016,609,5.8
47290,Southern Mallee (DC),2017,707,-
47490,Streaky Bay (DC),2011,-,4.4
47490,Streaky Bay (DC),2013,603,-
47490,Streaky Bay (DC),2014,642,-
47490,Streaky Bay (DC),2015,661,-
47490,Streaky Bay (DC),2016,677,3.8
47490,Streaky Bay (DC),2017,679,-
47630,Tatiara (DC),2011,-,4.3
47630,Tatiara (DC),2013,"2,144",-
47630,Tatiara (DC),2014,"2,240",-
47630,Tatiara (DC),2015,"2,350",-
47630,Tatiara (DC),2016,"2,196",3.2
47630,Tatiara (DC),2017,"2,264",-
47700,Tea Tree Gully (C),2011,-,4.3
47700,Tea Tree Gully (C),2013,"35,988",-
47700,Tea Tree Gully (C),2014,"37,811",-
47700,Tea Tree Gully (C),2015,"39,136",-
47700,Tea Tree Gully (C),2016,"39,500",5.0
47700,Tea Tree Gully (C),2017,"39,747",-
47800,The Coorong (DC),2011,-,5.3
47800,The Coorong (DC),2013,"1,463",-
47800,The Coorong (DC),2014,"1,522",-
47800,The Coorong (DC),2015,"1,552",-
47800,The Coorong (DC),2016,"1,393",6.1
47800,The Coorong (DC),2017,"1,485",-
47910,Tumby Bay (DC),2011,-,5.5
47910,Tumby Bay (DC),2013,764,-
47910,Tumby Bay (DC),2014,824,-
47910,Tumby Bay (DC),2015,856,-
47910,Tumby Bay (DC),2016,829,6.2
47910,Tumby Bay (DC),2017,893,-
47980,Unley (C),2011,-,5.6
47980,Unley (C),2013,"17,433",-
47980,Unley (C),2014,"18,019",-
47980,Unley (C),2015,"18,670",-
47980,Unley (C),2016,"19,229",5.9
47980,Unley (C),2017,"19,477",-
48050,Victor Harbor (C),2011,-,7.6
48050,Victor Harbor (C),2013,"3,856",-
48050,Victor Harbor (C),2014,"3,990",-
48050,Victor Harbor (C),2015,"4,101",-
48050,Victor Harbor (C),2016,"4,071",8.2
48050,Victor Harbor (C),2017,"4,190",-
48130,Wakefield (DC),2011,-,7.5
48130,Wakefield (DC),2013,"1,802",-
48130,Wakefield (DC),2014,"1,901",-
48130,Wakefield (DC),2015,"1,892",-
48130,Wakefield (DC),2016,"1,667",7.4
48130,Wakefield (DC),2017,"1,849",-
48260,Walkerville (M),2011,-,5.6
48260,Walkerville (M),2013,"3,547",-
48260,Walkerville (M),2014,"3,671",-
48260,Walkerville (M),2015,"3,852",-
48260,Walkerville (M),2016,"3,883",4.6
48260,Walkerville (M),2017,"3,994",-
48340,Wattle Range (DC),2011,-,5.3
48340,Wattle Range (DC),2013,"3,191",-
48340,Wattle Range (DC),2014,"3,415",-
48340,Wattle Range (DC),2015,"3,419",-
48340,Wattle Range (DC),2016,"3,260",5.9
48340,Wattle Range (DC),2017,"3,387",-
48410,West Torrens (C),2011,-,5.7
48410,West Torrens (C),2013,"19,144",-
48410,West Torrens (C),2014,"20,327",-
48410,West Torrens (C),2015,"21,235",-
48410,West Torrens (C),2016,"21,331",5.8
48410,West Torrens (C),2017,"21,884",-
48540,Whyalla (C),2011,-,6.0
48540,Whyalla (C),2013,"4,660",-
48540,Whyalla (C),2014,"5,340",-
48540,Whyalla (C),2015,"5,600",-
48540,Whyalla (C),2016,"5,476",6.8
48540,Whyalla (C),2017,"5,451",-
48640,Wudinna (DC),2011,-,3.8
48640,Wudinna (DC),2013,416,-
48640,Wudinna (DC),2014,437,-
48640,Wudinna (DC),2015,448,-
48640,Wudinna (DC),2016,376,3.5
48640,Wudinna (DC),2017,405,-
48750,Yankalilla (DC),2011,-,6.7
48750,Yankalilla (DC),2013,"1,228",-
48750,Yankalilla (DC),2014,"1,399",-
48750,Yankalilla (DC),2015,"1,455",-
48750,Yankalilla (DC),2016,"1,467",6.3
48750,Yankalilla (DC),2017,"1,581",-
48830,Yorke Peninsula (DC),2011,-,7.5
48830,Yorke Peninsula (DC),2013,"3,292",-
48830,Yorke Peninsula (DC),2014,"3,458",-
48830,Yorke Peninsula (DC),2015,"3,514",-
48830,Yorke Peninsula (DC),2016,"3,428",8.1
48830,Yorke Peninsula (DC),2017,"3,547",-
49399,Unincorporated SA,2011,-,2.2
49399,Unincorporated SA,2013,581,-
49399,Unincorporated SA,2014,605,-
49399,Unincorporated SA,2015,603,-
49399,Unincorporated SA,2016,517,2.5
49399,Unincorporated SA,2017,518,-
49499,No usual address (SA),2016,-,6.0
50080,Albany (C),2011,-,5.2
50080,Albany (C),2013,"10,001",-
50080,Albany (C),2014,"10,894",-
50080,Albany (C),2015,"11,718",-
50080,Albany (C),2016,"12,364",5.7
50080,Albany (C),2017,"12,531",-
50210,Armadale (C),2011,-,3.6
50210,Armadale (C),2013,"22,690",-
50210,Armadale (C),2014,"25,313",-
50210,Armadale (C),2015,"28,046",-
50210,Armadale (C),2016,"29,850",3.8
50210,Armadale (C),2017,"30,948",-
50250,Ashburton (S),2011,-,0.6
50250,Ashburton (S),2013,"2,565",-
50250,Ashburton (S),2014,"2,753",-
50250,Ashburton (S),2015,"2,782",-
50250,Ashburton (S),2016,"2,834",0.7
50250,Ashburton (S),2017,"2,761",-
50280,Augusta-Margaret River (S),2011,-,2.7
50280,Augusta-Margaret River (S),2013,"4,495",-
50280,Augusta-Margaret River (S),2014,"4,877",-
50280,Augusta-Margaret River (S),2015,"5,291",-
50280,Augusta-Margaret River (S),2016,"5,693",2.8
50280,Augusta-Margaret River (S),2017,"5,919",-
50350,Bassendean (T),2011,-,4.5
50350,Bassendean (T),2013,"5,833",-
50350,Bassendean (T),2014,"6,211",-
50350,Bassendean (T),2015,"6,606",-
50350,Bassendean (T),2016,"6,695",5.1
50350,Bassendean (T),2017,"6,682",-
50420,Bayswater (C),2011,-,4.5
50420,Bayswater (C),2013,"25,974",-
50420,Bayswater (C),2014,"27,357",-
50420,Bayswater (C),2015,"28,754",-
50420,Bayswater (C),2016,"29,251",4.5
50420,Bayswater (C),2017,"29,208",-
50490,Belmont (C),2011,-,4.2
50490,Belmont (C),2013,"12,594",-
50490,Belmont (C),2014,"13,285",-
50490,Belmont (C),2015,"14,262",-
50490,Belmont (C),2016,"14,773",4.4
50490,Belmont (C),2017,"14,849",-
50560,Beverley (S),2011,-,7.1
50560,Beverley (S),2013,585,-
50560,Beverley (S),2014,622,-
50560,Beverley (S),2015,625,-
50560,Beverley (S),2016,643,6.5
50560,Beverley (S),2017,656,-
50630,Boddington (S),2011,-,1.4
50630,Boddington (S),2013,749,-
50630,Boddington (S),2014,793,-
50630,Boddington (S),2015,861,-
50630,Boddington (S),2016,856,3.1
50630,Boddington (S),2017,800,-
50770,Boyup Brook (S),2011,-,4.5
50770,Boyup Brook (S),2013,642,-
50770,Boyup Brook (S),2014,654,-
50770,Boyup Brook (S),2015,697,-
50770,Boyup Brook (S),2016,712,4.4
50770,Boyup Brook (S),2017,725,-
50840,Bridgetown-Greenbushes (S),2011,-,4.6
50840,Bridgetown-Greenbushes (S),2013,"1,437",-
50840,Bridgetown-Greenbushes (S),2014,"1,492",-
50840,Bridgetown-Greenbushes (S),2015,"1,560",-
50840,Bridgetown-Greenbushes (S),2016,"1,668",5.6
50840,Bridgetown-Greenbushes (S),2017,"1,670",-
50910,Brookton (S),2011,-,9.0
50910,Brookton (S),2013,351,-
50910,Brookton (S),2014,358,-
50910,Brookton (S),2015,383,-
50910,Brookton (S),2016,392,4.5
50910,Brookton (S),2017,395,-
50980,Broome (S),2011,-,2.3
50980,Broome (S),2013,"3,275",-
50980,Broome (S),2014,"3,607",-
50980,Broome (S),2015,"3,877",-
50980,Broome (S),2016,"4,159",2.2
50980,Broome (S),2017,"4,248",-
51080,Broomehill-Tambellup (S),2011,-,3.7
51080,Broomehill-Tambellup (S),2013,345,-
51080,Broomehill-Tambellup (S),2014,351,-
51080,Broomehill-Tambellup (S),2015,350,-
51080,Broomehill-Tambellup (S),2016,369,3.9
51080,Broomehill-Tambellup (S),2017,407,-
51120,Bruce Rock (S),2011,-,5.2
51120,Bruce Rock (S),2013,356,-
51120,Bruce Rock (S),2014,362,-
51120,Bruce Rock (S),2015,369,-
51120,Bruce Rock (S),2016,386,5.6
51120,Bruce Rock (S),2017,379,-
51190,Bunbury (C),2011,-,5.0
51190,Bunbury (C),2013,"11,069",-
51190,Bunbury (C),2014,"11,504",-
51190,Bunbury (C),2015,"12,104",-
51190,Bunbury (C),2016,"12,339",5.9
51190,Bunbury (C),2017,"12,053",-
51260,Busselton (C),2011,-,3.9
51260,Busselton (C),2013,"12,352",-
51260,Busselton (C),2014,"13,355",-
51260,Busselton (C),2015,"14,494",-
51260,Busselton (C),2016,"15,224",4.1
51260,Busselton (C),2017,"15,646",-
51310,Cambridge (T),2011,-,3.2
51310,Cambridge (T),2013,"14,021",-
51310,Cambridge (T),2014,"14,565",-
51310,Cambridge (T),2015,"15,315",-
51310,Cambridge (T),2016,"15,537",3.5
51310,Cambridge (T),2017,"15,927",-
51330,Canning (C),2011,-,3.3
51330,Canning (C),2013,"35,070",-
51330,Canning (C),2014,"36,474",-
51330,Canning (C),2015,"38,056",-
51330,Canning (C),2016,"38,045",3.5
51330,Canning (C),2017,"37,595",-
51400,Capel (S),2011,-,2.3
51400,Capel (S),2013,"6,067",-
51400,Capel (S),2014,"6,478",-
51400,Capel (S),2015,"6,998",-
51400,Capel (S),2016,"7,223",3.0
51400,Capel (S),2017,"7,485",-
51470,Carnamah (S),2011,-,2.6
51470,Carnamah (S),2013,262,-
51470,Carnamah (S),2014,257,-
51470,Carnamah (S),2015,240,-
51470,Carnamah (S),2016,284,3.6
51470,Carnamah (S),2017,275,-
51540,Carnarvon (S),2011,-,3.7
51540,Carnarvon (S),2013,"1,270",-
51540,Carnarvon (S),2014,"1,401",-
51540,Carnarvon (S),2015,"1,368",-
51540,Carnarvon (S),2016,"1,384",3.6
51540,Carnarvon (S),2017,"1,358",-
51610,Chapman Valley (S),2011,-,2.8
51610,Chapman Valley (S),2013,417,-
51610,Chapman Valley (S),2014,461,-
51610,Chapman Valley (S),2015,515,-
51610,Chapman Valley (S),2016,555,2.5
51610,Chapman Valley (S),2017,604,-
51680,Chittering (S),2011,-,2.6
51680,Chittering (S),2013,"1,867",-
51680,Chittering (S),2014,"2,060",-
51680,Chittering (S),2015,"2,224",-
51680,Chittering (S),2016,"2,369",3.4
51680,Chittering (S),2017,"2,469",-
51750,Claremont (T),2011,-,3.4
51750,Claremont (T),2013,"5,284",-
51750,Claremont (T),2014,"5,499",-
51750,Claremont (T),2015,"5,733",-
51750,Claremont (T),2016,"5,742",3.9
51750,Claremont (T),2017,"5,855",-
51820,Cockburn (C),2011,-,3.5
51820,Cockburn (C),2013,"39,947",-
51820,Cockburn (C),2014,"43,042",-
51820,Cockburn (C),2015,"46,064",-
51820,Cockburn (C),2016,"47,924",3.8
51820,Cockburn (C),2017,"49,048",-
51890,Collie (S),2011,-,4.7
51890,Collie (S),2013,"2,891",-
51890,Collie (S),2014,"2,941",-
51890,Collie (S),2015,"3,057",-
51890,Collie (S),2016,"3,040",5.4
51890,Collie (S),2017,"3,084",-
51960,Coolgardie (S),2011,-,2.2
51960,Coolgardie (S),2013,"1,054",-
51960,Coolgardie (S),2014,"1,073",-
51960,Coolgardie (S),2015,"1,133",-
51960,Coolgardie (S),2016,"1,131",2.7
51960,Coolgardie (S),2017,"1,064",-
52030,Coorow (S),2011,-,3.4
52030,Coorow (S),2013,359,-
52030,Coorow (S),2014,361,-
52030,Coorow (S),2015,390,-
52030,Coorow (S),2016,401,5.3
52030,Coorow (S),2017,409,-
52100,Corrigin (S),2011,-,4.0
52100,Corrigin (S),2013,514,-
52100,Corrigin (S),2014,530,-
52100,Corrigin (S),2015,560,-
52100,Corrigin (S),2016,550,4.3
52100,Corrigin (S),2017,544,-
52170,Cottesloe (T),2011,-,2.7
52170,Cottesloe (T),2013,"4,446",-
52170,Cottesloe (T),2014,"4,561",-
52170,Cottesloe (T),2015,"4,771",-
52170,Cottesloe (T),2016,"4,837",3.4
52170,Cottesloe (T),2017,"4,863",-
52240,Cranbrook (S),2011,-,3.3
52240,Cranbrook (S),2013,313,-
52240,Cranbrook (S),2014,353,-
52240,Cranbrook (S),2015,365,-
52240,Cranbrook (S),2016,375,4.2
52240,Cranbrook (S),2017,382,-
52310,Cuballing (S),2011,-,3.3
52310,Cuballing (S),2013,243,-
52310,Cuballing (S),2014,278,-
52310,Cuballing (S),2015,287,-
52310,Cuballing (S),2016,283,4.8
52310,Cuballing (S),2017,310,-
52380,Cue (S),2011,-,3.3
52380,Cue (S),2013,51,-
52380,Cue (S),2014,53,-
52380,Cue (S),2015,44,-
52380,Cue (S),2016,39,3.6
52380,Cue (S),2017,40,-
52450,Cunderdin (S),2011,-,4.3
52450,Cunderdin (S),2013,501,-
52450,Cunderdin (S),2014,526,-
52450,Cunderdin (S),2015,540,-
52450,Cunderdin (S),2016,528,4.2
52450,Cunderdin (S),2017,533,-
52520,Dalwallinu (S),2011,-,3.8
52520,Dalwallinu (S),2013,628,-
52520,Dalwallinu (S),2014,633,-
52520,Dalwallinu (S),2015,674,-
52520,Dalwallinu (S),2016,691,2.8
52520,Dalwallinu (S),2017,700,-
52590,Dandaragan (S),2011,-,2.9
52590,Dandaragan (S),2013,"1,199",-
52590,Dandaragan (S),2014,"1,305",-
52590,Dandaragan (S),2015,"1,381",-
52590,Dandaragan (S),2016,"1,426",3.4
52590,Dandaragan (S),2017,"1,441",-
52660,Dardanup (S),2011,-,3.8
52660,Dardanup (S),2013,"4,976",-
52660,Dardanup (S),2014,"5,246",-
52660,Dardanup (S),2015,"5,625",-
52660,Dardanup (S),2016,"5,853",4.9
52660,Dardanup (S),2017,"5,905",-
52730,Denmark (S),2011,-,4.5
52730,Denmark (S),2013,"1,674",-
52730,Denmark (S),2014,"1,859",-
52730,Denmark (S),2015,"1,976",-
52730,Denmark (S),2016,"2,023",4.5
52730,Denmark (S),2017,"2,088",-
52800,Derby-West Kimberley (S),2011,-,2.9
52800,Derby-West Kimberley (S),2013,721,-
52800,Derby-West Kimberley (S),2014,766,-
52800,Derby-West Kimberley (S),2015,754,-
52800,Derby-West Kimberley (S),2016,823,3.2
52800,Derby-West Kimberley (S),2017,848,-
52870,Donnybrook-Balingup (S),2011,-,4.0
52870,Donnybrook-Balingup (S),2013,"1,986",-
52870,Donnybrook-Balingup (S),2014,"2,092",-
52870,Donnybrook-Balingup (S),2015,"2,204",-
52870,Donnybrook-Balingup (S),2016,"2,301",4.3
52870,Donnybrook-Balingup (S),2017,"2,417",-
52940,Dowerin (S),2011,-,5.9
52940,Dowerin (S),2013,286,-
52940,Dowerin (S),2014,302,-
52940,Dowerin (S),2015,309,-
52940,Dowerin (S),2016,324,2.8
52940,Dowerin (S),2017,327,-
53010,Dumbleyung (S),2011,-,4.0
53010,Dumbleyung (S),2013,280,-
53010,Dumbleyung (S),2014,310,-
53010,Dumbleyung (S),2015,319,-
53010,Dumbleyung (S),2016,321,5.8
53010,Dumbleyung (S),2017,339,-
53080,Dundas (S),2011,-,3.7
53080,Dundas (S),2013,146,-
53080,Dundas (S),2014,162,-
53080,Dundas (S),2015,143,-
53080,Dundas (S),2016,159,5.2
53080,Dundas (S),2017,145,-
53150,East Fremantle (T),2011,-,3.6
53150,East Fremantle (T),2013,"3,780",-
53150,East Fremantle (T),2014,"3,871",-
53150,East Fremantle (T),2015,"4,130",-
53150,East Fremantle (T),2016,"4,200",2.9
53150,East Fremantle (T),2017,"4,267",-
53220,East Pilbara (S),2011,-,0.8
53220,East Pilbara (S),2013,"1,990",-
53220,East Pilbara (S),2014,"1,885",-
53220,East Pilbara (S),2015,"1,779",-
53220,East Pilbara (S),2016,"1,844",1.0
53220,East Pilbara (S),2017,"1,837",-
53290,Esperance (S),2011,-,3.7
53290,Esperance (S),2013,"4,712",-
53290,Esperance (S),2014,"4,879",-
53290,Esperance (S),2015,"5,111",-
53290,Esperance (S),2016,"5,154",3.5
53290,Esperance (S),2017,"5,271",-
53360,Exmouth (S),2011,-,2.8
53360,Exmouth (S),2013,704,-
53360,Exmouth (S),2014,833,-
53360,Exmouth (S),2015,881,-
53360,Exmouth (S),2016,939,3.3
53360,Exmouth (S),2017,"1,006",-
53430,Fremantle (C),2011,-,5.0
53430,Fremantle (C),2013,"12,216",-
53430,Fremantle (C),2014,"13,127",-
53430,Fremantle (C),2015,"13,769",-
53430,Fremantle (C),2016,"14,056",4.7
53430,Fremantle (C),2017,"14,371",-
53570,Gingin (S),2011,-,3.8
53570,Gingin (S),2013,"1,669",-
53570,Gingin (S),2014,"1,816",-
53570,Gingin (S),2015,"1,877",-
53570,Gingin (S),2016,"1,914",4.0
53570,Gingin (S),2017,"1,964",-
53640,Gnowangerup (S),2011,-,3.9
53640,Gnowangerup (S),2013,541,-
53640,Gnowangerup (S),2014,561,-
53640,Gnowangerup (S),2015,587,-
53640,Gnowangerup (S),2016,553,3.8
53640,Gnowangerup (S),2017,579,-
53710,Goomalling (S),2011,-,4.9
53710,Goomalling (S),2013,393,-
53710,Goomalling (S),2014,410,-
53710,Goomalling (S),2015,426,-
53710,Goomalling (S),2016,408,3.3
53710,Goomalling (S),2017,421,-
53780,Gosnells (C),2011,-,3.4
53780,Gosnells (C),2013,"36,700",-
53780,Gosnells (C),2014,"39,028",-
53780,Gosnells (C),2015,"41,720",-
53780,Gosnells (C),2016,"41,903",4.0
53780,Gosnells (C),2017,"42,398",-
53800,Greater Geraldton (C),2011,-,3.9
53800,Greater Geraldton (C),2013,"12,942",-
53800,Greater Geraldton (C),2014,"13,497",-
53800,Greater Geraldton (C),2015,"14,098",-
53800,Greater Geraldton (C),2016,"14,223",4.7
53800,Greater Geraldton (C),2017,"14,217",-
53920,Halls Creek (S),2011,-,4.8
53920,Halls Creek (S),2013,151,-
53920,Halls Creek (S),2014,166,-
53920,Halls Creek (S),2015,179,-
53920,Halls Creek (S),2016,188,3.5
53920,Halls Creek (S),2017,194,-
53990,Harvey (S),2011,-,3.0
53990,Harvey (S),2013,"9,540",-
53990,Harvey (S),2014,"10,154",-
53990,Harvey (S),2015,"10,943",-
53990,Harvey (S),2016,"11,099",3.6
53990,Harvey (S),2017,"11,431",-
54060,Irwin (S),2011,-,3.9
54060,Irwin (S),2013,"1,266",-
54060,Irwin (S),2014,"1,336",-
54060,Irwin (S),2015,"1,420",-
54060,Irwin (S),2016,"1,400",4.8
54060,Irwin (S),2017,"1,396",-
54130,Jerramungup (S),2011,-,1.8
54130,Jerramungup (S),2013,443,-
54130,Jerramungup (S),2014,469,-
54130,Jerramungup (S),2015,473,-
54130,Jerramungup (S),2016,449,1.6
54130,Jerramungup (S),2017,496,-
54170,Joondalup (C),2011,-,2.7
54170,Joondalup (C),2013,"75,170",-
54170,Joondalup (C),2014,"79,074",-
54170,Joondalup (C),2015,"82,233",-
54170,Joondalup (C),2016,"82,196",3.3
54170,Joondalup (C),2017,"81,534",-
54200,Kalamunda (C),2011,-,3.2
54200,Kalamunda (C),2013,"24,284",-
54200,Kalamunda (C),2014,"25,610",-
54200,Kalamunda (C),2015,"26,670",-
54200,Kalamunda (C),2016,"26,678",3.6
54200,Kalamunda (C),2017,"26,583",-
54280,Kalgoorlie/Boulder (C),2011,-,2.3
54280,Kalgoorlie/Boulder (C),2013,"11,246",-
54280,Kalgoorlie/Boulder (C),2014,"11,545",-
54280,Kalgoorlie/Boulder (C),2015,"11,844",-
54280,Kalgoorlie/Boulder (C),2016,"11,966",2.6
54280,Kalgoorlie/Boulder (C),2017,"11,749",-
54310,Karratha (C),2011,-,1.0
54310,Karratha (C),2013,"7,432",-
54310,Karratha (C),2014,"7,913",-
54310,Karratha (C),2015,"8,233",-
54310,Karratha (C),2016,"8,157",1.2
54310,Karratha (C),2017,"8,294",-
54340,Katanning (S),2011,-,4.6
54340,Katanning (S),2013,"1,119",-
54340,Katanning (S),2014,"1,152",-
54340,Katanning (S),2015,"1,193",-
54340,Katanning (S),2016,"1,221",4.9
54340,Katanning (S),2017,"1,187",-
54410,Kellerberrin (S),2011,-,7.1
54410,Kellerberrin (S),2013,375,-
54410,Kellerberrin (S),2014,390,-
54410,Kellerberrin (S),2015,422,-
54410,Kellerberrin (S),2016,396,8.1
54410,Kellerberrin (S),2017,447,-
54480,Kent (S),2011,-,1.8
54480,Kent (S),2013,227,-
54480,Kent (S),2014,236,-
54480,Kent (S),2015,228,-
54480,Kent (S),2016,239,1.6
54480,Kent (S),2017,242,-
54550,Kojonup (S),2011,-,3.4
54550,Kojonup (S),2013,933,-
54550,Kojonup (S),2014,939,-
54550,Kojonup (S),2015,962,-
54550,Kojonup (S),2016,912,2.8
54550,Kojonup (S),2017,945,-
54620,Kondinin (S),2011,-,3.3
54620,Kondinin (S),2013,418,-
54620,Kondinin (S),2014,442,-
54620,Kondinin (S),2015,459,-
54620,Kondinin (S),2016,451,4.2
54620,Kondinin (S),2017,460,-
54690,Koorda (S),2011,-,3.7
54690,Koorda (S),2013,166,-
54690,Koorda (S),2014,172,-
54690,Koorda (S),2015,182,-
54690,Koorda (S),2016,183,4.8
54690,Koorda (S),2017,194,-
54760,Kulin (S),2011,-,2.2
54760,Kulin (S),2013,373,-
54760,Kulin (S),2014,374,-
54760,Kulin (S),2015,381,-
54760,Kulin (S),2016,374,2.1
54760,Kulin (S),2017,403,-
54830,Kwinana (C),2011,-,3.8
54830,Kwinana (C),2013,"8,809",-
54830,Kwinana (C),2014,"9,914",-
54830,Kwinana (C),2015,"11,477",-
54830,Kwinana (C),2016,"12,565",4.0
54830,Kwinana (C),2017,"13,540",-
54900,Lake Grace (S),2011,-,1.6
54900,Lake Grace (S),2013,688,-
54900,Lake Grace (S),2014,707,-
54900,Lake Grace (S),2015,712,-
54900,Lake Grace (S),2016,657,2.4
54900,Lake Grace (S),2017,730,-
54970,Laverton (S),2011,-,1.5
54970,Laverton (S),2013,79,-
54970,Laverton (S),2014,75,-
54970,Laverton (S),2015,79,-
54970,Laverton (S),2016,80,1.4
54970,Laverton (S),2017,64,-
55040,Leonora (S),2011,-,1.0
55040,Leonora (S),2013,364,-
55040,Leonora (S),2014,289,-
55040,Leonora (S),2015,248,-
55040,Leonora (S),2016,290,1.6
55040,Leonora (S),2017,302,-
55110,Mandurah (C),2011,-,5.0
55110,Mandurah (C),2013,"25,307",-
55110,Mandurah (C),2014,"27,453",-
55110,Mandurah (C),2015,"29,816",-
55110,Mandurah (C),2016,"30,558",5.8
55110,Mandurah (C),2017,"31,081",-
55180,Manjimup (S),2011,-,4.7
55180,Manjimup (S),2013,"2,958",-
55180,Manjimup (S),2014,"3,064",-
55180,Manjimup (S),2015,"3,208",-
55180,Manjimup (S),2016,"3,291",4.7
55180,Manjimup (S),2017,"3,394",-
55250,Meekatharra (S),2011,-,2.4
55250,Meekatharra (S),2013,135,-
55250,Meekatharra (S),2014,141,-
55250,Meekatharra (S),2015,142,-
55250,Meekatharra (S),2016,142,1.7
55250,Meekatharra (S),2017,134,-
55320,Melville (C),2011,-,3.5
55320,Melville (C),2013,"50,466",-
