Name	Native	Status	Population
Yan Nawa	เขตยานนาวา	City District	105,330	182,621
Lampang	จังหวัดลำปาง	Province	782,152	743,143
Chae Hom	อำเภอแจ้ห่ม	District	43,057	40,429
Hang Chat	อำเภอห้างฉัตร	District	51,609	48,274
Ko Kha	อำเภอเกาะคา	District	65,165	60,828
Mae Mo	อำเภอแม่เมาะ	District	37,830	38,464
Mae Phrik	อำเภอแม่พริก	District	17,097	16,655
Mae Tha	อำเภอแม่ทะ	District	63,510	59,997
Mueang Lampang	อำเภอเมืองลำปาง	District	239,475	227,137
Mueang Pan	อำเภอเมืองปาน	District	34,037	31,069
Ngao	อำเภองาว	District	59,294	56,295
Soem Ngam	อำเภอเสริมงาม	District	33,271	32,280
Sop Prap	อำเภอสบปราบ	District	28,221	27,240
Thoen	อำเภอเถิน	District	62,518	61,126
Wang Nuea	อำเภอวังเหนือ	District	47,068	43,348
Lamphun	จังหวัดลำพูน	Province	413,299	412,741
Ban Hong	อำเภอบ้านโฮ่ง	District	45,453	37,162
Ban Thi	อำเภอบ้านธิ	District	18,380	18,103
Li	อำเภอลี้	District	64,137	61,580
Mae Tha	อำเภอแม่ทา	District	42,210	35,512
Mueang Lamphun	อำเภอเมืองลำพูน	District	141,134	171,818
Pa Sang	อำเภอป่าซาง	District	63,072	55,390
Thung Hua Chang	อำเภอทุ่งหัวช้าง	District	18,570	17,419
Wiang Nong Long	อำเภอเวียงหนองล่อง	District	20,343	15,758
Loei	จังหวัดเลย	Province	607,083	546,028
Chiang Khan	อำเภอเชียงคาน	District	58,761	54,059
Dan Sai	อำเภอด่านซ้าย	District	48,971	45,744
Erawan	อำเภอเอราวัณ	District	35,165	26,755
Mueang Loei	อำเภอเมืองเลย	District	109,942	113,328
Na Duang	อำเภอนาด้วง	District	24,702	21,262
Na Haeo	อำเภอนาแห้ว	District	10,697	10,429
Nong Hin	อำเภอหนองหิน	District	21,821	20,114
Pak Chom	อำเภอปากชม	District	48,962	34,449
Pha Khao	อำเภอผาขาว	District	38,235	31,050
Phu Kradueng	อำเภอภูกระดึง	District	34,302	24,598
Phu Luang	อำเภอภูหลวง	District	21,467	21,008
Phu Ruea	อำเภอภูเรือ	District	20,291	19,599
Tha Li	อำเภอท่าลี่	District	26,338	25,637
Wang Saphung	อำเภอวังสะพุง	District	107,429	97,997
Lopburi	จังหวัดลพบุรี	Province	745,506	769,925
Ban Mi	อำเภอบ้านหมี่	District	86,064	72,229
Chai Badan	อำเภอชัยบาดาล	District	85,301	91,281
Khok Charoen	อำเภอโคกเจริญ	District	23,087	20,368
Khok Samrong	อำเภอโคกสำโรง	District	86,381	79,598
Lam Sonthi	อำเภอลำสนธิ	District	24,279	25,198
Mueang Lopburi	อำเภอเมืองลพบุรี	District	247,246	264,338
Nong Muang	อำเภอหนองม่วง	District	34,378	33,718
Phatthana Nikhom	อำเภอพัฒนานิคม	District	57,892	78,957
Sa Bot	อำเภอสระโบสถ์	District	22,847	21,361
Tha Luang	อำเภอท่าหลวง	District	26,398	30,010
Tha Wung	อำเภอท่าวุ้ง	District	51,633	52,869
Mae Hong Son	จังหวัดแม่ฮ่องสอน	Province	210,537	209,153
Khun Yuam	อำเภอขุนยวม	District	19,243	17,761
Mae La Noi	อำเภอแม่ลาน้อย	District	29,582	28,076
Mae Sariang	อำเภอแม่สะเรียง	District	46,035	43,691
Mueang Mae Hong Son	อำเภอเมืองแม่ฮ่องสอน	District	41,682	46,277
Pai	อำเภอปาย	District	25,342	26,015
Pang Mapha	อำเภอปางมะผ้า	District	14,403	16,893
Sop Moei	อำเภอสบเมย	District	34,250	30,440
Maha Sarakham	จังหวัดมหาสารคาม	Province	947,313	827,639
Borabue	อำเภอบรบือ	District	109,927	91,133
Chiang Yuen	อำเภอเชียงยืน	District	63,390	54,271
Chuen Chom	อำเภอชื่นชม	District	24,386	21,538
Kae Dam	อำเภอแกดำ	District	29,555	24,694
Kantharawichai	อำเภอกันทรวิชัย	District	75,649	79,733
Kosum Phisai	อำเภอโกสุมพิสัย	District	122,632	102,844
Kut Rang	อำเภอกุดรัง	District	36,394	30,817
Mueang Maha Sarakham	อำเภอเมืองมหาสารคาม	District	148,317	145,845
Na Chueak	อำเภอนาเชือก	District	61,018	50,956
Na Dun	อำเภอนาดูน	District	37,411	31,456
Phayakkhaphum Phisai	อำเภอพยัคฆภูมิพิสัย	District	87,719	71,756
Wapi Pathum	อำเภอวาปีปทุม	District	115,765	92,776
Yang Sisurat	อำเภอยางสีสุราช	District	35,150	29,819
Mukdahan	จังหวัดมุกดาหาร	Province	310,718	357,339
Dong Luang	อำเภอดงหลวง	District	31,633	41,031
Don Tan	อำเภอดอนตาล	District	38,198	47,237
Khamcha-i	อำเภอคำชะอี	District	44,211	47,332
Mueang Mukdahan	อำเภอเมืองมุกดาหาร	District	119,162	139,390
Nikhom Kham Soi	อำเภอนิคมคำสร้อย	District	39,868	42,861
Nong Sung	อำเภอหนองสูง	District	20,059	20,444
Wan Yai	อำเภอหว้านใหญ่	District	17,587	19,043
Nakhon Nayok	จังหวัดนครนายก	Province	241,081	246,868
Ban Na	อำเภอบ้านนา	District	65,365	64,323
Mueang Nakhon Nayok	อำเภอเมืองนครนายก	District	97,016	95,965
Ongkharak	อำเภอองครักษ์	District	53,280	64,064
Pak Phli	อำเภอปากพลี	District	25,420	22,515
Nakhon Pathom	จังหวัดนครปฐม	Province	815,122	943,892
Bang Len	อำเภอบางเลน	District	91,676	93,031
Don Tum	อำเภอดอนตูม	District	46,494	44,614
Kamphaeng Saen	อำเภอกำแพงแสน	District	124,715	117,839
Mueang Nakhon Pathom	อำเภอเมืองนครปฐม	District	271,391	269,208
Nakhon Chai Si	อำเภอนครชัยศรี	District	100,783	114,232
Phutthamonthon	อำเภอพุทธมณฑล	District	22,048	48,840
Sam Phran	อำเภอสามพราน	District	158,015	256,128
Nakhon Phanom	จังหวัดนครพนม	Province	684,444	583,726
Ban Phaeng	อำเภอบ้านแพง	District	33,731	28,784
Mueang Nakhon Phanom	อำเภอเมืองนครพนม	District	157,438	128,313
Na Kae	อำเภอนาแก	District	73,784	62,500
Na Thom	อำเภอนาทม	District	21,487	18,007
Na Wa	อำเภอนาหว้า	District	46,006	39,494
Phon Sawan	อำเภอโพนสวรรค์	District	50,414	43,860
Pla Pak	อำเภอปลาปาก	District	48,694	44,848
Renu Nakhon	อำเภอเรณูนคร	District	42,588	35,892
