国コード	第二行政区画コード	日本語表記	英語表記
JP	04102	仙台市宮城野区	sendai-shi miyagino-ku
JP	04103	仙台市若林区	sendai-shi wakabayashi-ku
JP	04104	仙台市太白区	sendai-shi taihaku-ku
JP	04105	仙台市泉区	sendai-shi izumi-ku
JP	04202	石巻市	ishinomaki-shi
JP	04203	塩竈市	shiogama-shi
JP	04205	気仙沼市	kesennuma-shi
JP	04206	白石市	shiroishi-shi
JP	04207	名取市	natori-shi
JP	04208	角田市	kakuda-shi
JP	04209	多賀城市	tagajo-shi
JP	04211	岩沼市	iwanuma-shi
JP	04212	登米市	tome-shi
JP	04213	栗原市	kurihara-shi
JP	04214	東松島市	higashimatsushima-shi
JP	04215	大崎市	osaki-shi
JP	04216	富谷市	tomiya-shi
JP	04301	蔵王町	zao-machi
JP	04302	七ヶ宿町	shichikashuku-machi
JP	04321	大河原町	ogawara-machi
JP	04322	村田町	murata-machi
JP	04323	柴田町	shibata-machi
JP	04324	川崎町	kawasaki-machi
JP	04341	丸森町	marumori-machi
JP	04361	亘理町	watari-cho
JP	04362	山元町	yamamoto-cho
JP	04401	松島町	matsushima-machi
JP	04404	七ヶ浜町	shichigahama-machi
JP	04406	利府町	rifu-cho
JP	04421	大和町	taiwa-cho
JP	04422	大郷町	osato-cho
JP	04423	富谷町	tomiya-machi
JP	04424	大衡村	ohira-mura
JP	04444	色麻町	shikama-cho
JP	04445	加美町	kami-machi
JP	04501	涌谷町	wakuya-cho
JP	04505	美里町	misato-machi
JP	04581	女川町	onagawa-cho
JP	04603	本吉町	motoyoshi-cho
JP	04606	南三陸町	minamisanriku-cho
JP	05000	秋田
JP	05201	秋田市	akita-shi
JP	05202	能代市	noshiro-shi
JP	05203	横手市	yokote-shi
JP	05204	大館市	odate-shi
JP	05206	男鹿市	oga-shi
JP	05207	湯沢市	yuzawa-shi
JP	05209	鹿角市	kadhuno-shi
JP	05210	由利本荘市	yurihonjo-shi
JP	05211	潟上市	katagami-shi
JP	05212	大仙市	daisen-shi
JP	05213	北秋田市	kitaakita-shi
JP	05214	にかほ市	nikaho-shi
JP	05215	仙北市	senboku-shi
JP	05303	小坂町	kosaka-machi
JP	05327	上小阿仁村	kamikoani-mura
JP	05346	藤里町	fujisato-machi
JP	05348	三種町	mitane-cho
JP	05349	八峰町	happo-cho
JP	05361	五城目町	gojome-machi
JP	05363	八郎潟町	hachirogata-machi
JP	05366	井川町	ikawa-machi
JP	05368	大潟村	ogata-mura
JP	05434	美郷町	misato-cho
JP	05463	羽後町	ugo-machi
JP	05464	東成瀬村	higashinaruse-mura
JP	06000	山形
JP	06201	山形市	yamagata-shi
JP	06202	米沢市	yonezawa-shi
JP	06203	鶴岡市	tsuruoka-shi
JP	06204	酒田市	sakata-shi
JP	06205	新庄市	shinjo-shi
JP	06206	寒河江市	sagae-shi
JP	06207	上山市	kaminoyama-shi
JP	06208	村山市	murayama-shi
JP	06209	長井市	nagai-shi
JP	06210	天童市	tendo-shi
JP	06211	東根市	higashine-shi
JP	06212	尾花沢市	obanazawa-shi
JP	06213	南陽市	nanyo-shi
JP	06301	山辺町	yamanobe-machi
JP	06302	中山町	nakayama-machi
JP	06321	河北町	kahoku-cho
JP	06322	西川町	nishikawa-machi
JP	06323	朝日町	asahi-machi
JP	06324	大江町	oe-machi
JP	06341	大石田町	oishida-machi
JP	06361	金山町	kaneyama-machi
JP	06362	最上町	mogami-machi
JP	06363	舟形町	funagata-machi
JP	06364	真室川町	mamurogawa-machi
JP	06365	大蔵村	okura-mura
JP	06366	鮭川村	sakegawa-mura
JP	06367	戸沢村	tozawa-mura
JP	06381	高畠町	takahata-machi
JP	06382	川西町	kawanishi-machi
JP	06401	小国町	oguni-machi
JP	06402	白鷹町	shirataka-machi
JP	06403	飯豊町	iide-machi
JP	06426	三川町	mikawa-machi
JP	06428	庄内町	shonai-machi
JP	06461	遊佐町	yuza-machi
JP	07000	福島
JP	07201	福島市	fukushima-shi
JP	07202	会津若松市	aidhuwakamatsu-shi
JP	07203	郡山市	koriyama-shi
JP	07204	いわき市	iwaki-shi
JP	07205	白河市	shirakawa-shi
JP	07207	須賀川市	sukagawa-shi
JP	07208	喜多方市	kitakata-shi
JP	07209	相馬市	soma-shi
JP	07210	二本松市	nihonmatsu-shi
JP	07211	田村市	tamura-shi
JP	07212	南相馬市	minamisoma-shi
JP	07213	伊達市	date-shi
JP	07214	本宮市	motomiya-shi
JP	07301	桑折町	kori-machi
JP	07303	国見町	kunimi-machi
JP	07308	川俣町	kawamata-machi
JP	07322	大玉村	otama-mura
JP	07342	鏡石町	kagamiishi-machi
JP	07344	天栄村	tenei-mura
JP	07362	下郷町	shimogo-machi
JP	07364	檜枝岐村	hinoemata-mura
JP	07367	只見町	tadami-machi
JP	07368	南会津町	minamiaidhu-machi
JP	07402	北塩原村	kitashiobara-mura
JP	07405	西会津町	nishiaidhu-machi
JP	07407	磐梯町	bandai-machi
JP	07408	猪苗代町	inawashiro-machi
JP	07421	会津坂下町	aidhubange-machi
JP	07422	湯川村	yugawa-mura
JP	07423	柳津町	yanaidhu-machi
JP	07444	三島町	mishima-machi
JP	07445	金山町	kaneyama-machi
JP	07446	昭和村	showa-mura
JP	07447	会津美里町	aidhumisato-machi
JP	07461	西郷村	nishigo-mura
JP	07464	泉崎村	izumizaki-mura
JP	07465	中島村	nakajima-mura
JP	07466	矢吹町	yabuki-machi
JP	07481	棚倉町	tanagura-machi
JP	07482	矢祭町	yamatsuri-machi
JP	07483	塙町	hanawa-machi
JP	07484	鮫川村	samegawa-mura
JP	07501	石川町	ishikawa-machi
JP	07502	玉川村	tamakawa-mura
JP	07503	平田村	hirata-mura
JP	07504	浅川町	asakawa-machi
JP	07505	古殿町	furudono-machi
JP	07521	三春町	miharu-machi
