region_schema	region_parent	region_child	pop_2020	no_exc
admin_1	cd	cd-ma	3056710	True
admin_1	cd	cd-nk	9225431	True
admin_1	cd	cd-or	13116532	True
admin_1	cd	cd-sk	6052939	True
admin_1	cf	cf-ac	523801	True
admin_1	cf	cf-bb	58205	True
admin_1	cf	cf-bgf	856822	True
admin_1	cf	cf-bk	341799	True
admin_1	cf	cf-hk	124224	True
admin_1	cf	cf-hm	80078	True
admin_1	cf	cf-hs	513984	True
admin_1	cf	cf-kb	161255	True
admin_1	cf	cf-kg	161516	True
admin_1	cf	cf-lb	346429	True
admin_1	cf	cf-mb	213304	True
admin_1	cf	cf-mp	471717	True
admin_1	cf	cf-nm	324665	True
admin_1	cf	cf-op	600874	True
admin_1	cf	cf-se	143206	True
admin_1	cf	cf-uk	379919	True
admin_1	cf	cf-vk	68533	True
admin_1	cg	cg-11	265187	True
admin_1	cg	cg-12	15684	True
admin_1	cg	cg-13	111761	True
admin_1	cg	cg-14	114581	True
