MB_CODE_2016,LGA_CODE_2016,LGA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
80050210000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0018
80050220000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0032
80050230000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0013
80050240000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0007
80006170000,89399,Unincorporated ACT,8,Australian Capital Territory,0.045
80006180000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0273
80006190000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0309
80006200000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0273
80006210000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0277
80006470000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0086
80006480000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0308
80006490000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0241
80047110000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0127
80047120000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0034
80006160000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0619
80006150000,89399,Unincorporated ACT,8,Australian Capital Territory,0.049
80006120000,89399,Unincorporated ACT,8,Australian Capital Territory,0.1124
80006220000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0363
80006250000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0367
80047100000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0055
80047080000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0019
80006260000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0235
80049970000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0026
80006510000,89399,Unincorporated ACT,8,Australian Capital Territory,0.023
80006500000,89399,Unincorporated ACT,8,Australian Capital Territory,0.008
80050030000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0022
80050040000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0013
80006140000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0454
80006240000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0232
80006230000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0338
80050020000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0038
80050010000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0017
80050000000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0021
80008720000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0348
80008630000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0468
80008620000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0239
80008640000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0498
80008770000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0596
80008560000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0085
80008670000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0381
80008660000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0419
80008810000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0787
80008580000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0524
80008680000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0457
80008740000,89399,Unincorporated ACT,8,Australian Capital Territory,0.067
80008750000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0307
80008450000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0403
80008780000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0216
80008591000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0109
80008592000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0136
80008600000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0583
80008420000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0333
80008460000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0246
80056539200,89399,Unincorporated ACT,8,Australian Capital Territory,0.025
80008840000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0285
80056539100,89399,Unincorporated ACT,8,Australian Capital Territory,0.045
80008511000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0169
80008860000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0192
80056566300,89399,Unincorporated ACT,8,Australian Capital Territory,0.0228
80056550700,89399,Unincorporated ACT,8,Australian Capital Territory,0.0049
80008831000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0118
80008500000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0352
80008610000,89399,Unincorporated ACT,8,Australian Capital Territory,0.147
80008442000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0168
80008690000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0594
80008530000,89399,Unincorporated ACT,8,Australian Capital Territory,0.0043
